Name,Email,Gender,Status,DateCreated,DateUpdated
,deepak@gmail.com,Male,active,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,suman@gmail.com,Female,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,vm_narendra_kakkar@rutherford.example,male,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,indira_dhawan@wilderman.test,male,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,bhattacharya_miss_tej@upton.example,male,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,gupta_pran@schaden-mitchell.test,female,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,subhash_saini@feeney.test,male,active,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,gowda_bhaasvan@upton.example,female,active,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,tagore_anilaabh@balistreri-daugherty.test,male,inactive,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
,namboothiri_dc_lalita@cassin.example,male,active,Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time),Tue May 23 2023 20:25:24 GMT+0530 (India Standard Time)
